City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Vaini,TO,76.5,overcast clouds,-21.2,-175.2,Keleti Beach Resort
3,Bengkulu,ID,74.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Butaritari,KI,80.35,few clouds,3.0707,172.7902,Isles Sunset Lodge
11,Castro,BR,80.69,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Bambous Virieux,MU,75.22,clear sky,-20.3428,57.7575,Casa Tia Villa
21,Souillac,MU,73.56,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Sabang,ID,81.46,overcast clouds,5.8933,95.3214,Hotel Citra
29,Faanui,PF,78.26,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Turbat,PK,76.21,clear sky,26.0023,63.044,Mubashar Quarters
34,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
38,Mpika,ZM,70.7,scattered clouds,-11.8343,31.4529,Melodies Lodge
40,Cidreira,BR,73.17,overcast clouds,-30.1811,-50.2056,Hotel Castelo
47,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
48,Waingapu,ID,80.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
49,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Cititel Penang
54,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
55,Pyay,MM,71.55,scattered clouds,18.8167,95.2167,Shwe Pyi Thar
59,Minatitlan,MX,71.69,broken clouds,17.9833,-94.5167,Grand Regency Express
64,Coolum Beach,AU,73.35,broken clouds,-26.5333,153.1,Coolum Beach Resort
67,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
69,Daru,PG,77.45,light rain,-9.0763,143.2092,Daru Lodge
73,San Andres,CO,75.22,light intensity drizzle,12.5847,-81.7006,Hotel Arena Blanca
77,La Peca,PE,88.54,light rain,-5.6111,-78.435,Hospedaje San Miguelito
79,Gizo,SB,82.09,scattered clouds,-8.103,156.8419,Imagination Island
81,Alofi,NU,77.38,light rain,-19.0595,-169.9187,Taloa Heights
88,Arraial Do Cabo,BR,74.93,clear sky,-22.9661,-42.0278,Pousada Porto Praia
90,Sao Filipe,CV,76.98,overcast clouds,14.8961,-24.4956,Hotel Xaguate
92,Namibe,AO,72.72,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
95,Kuala Terengganu,MY,77.72,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
97,Gushikawa,JP,74.43,scattered clouds,26.3544,127.8686,Kirari Guest House
99,Rocha,UY,87.64,few clouds,-34.4833,-54.3333,Hotel Arrarte
100,Rikitea,PF,71.33,overcast clouds,-23.1203,-134.9692,People ThankYou
102,Chikwawa,MW,86.22,clear sky,-16.0335,34.8009,Thawale Lodge
110,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
112,Arlit,NE,80.17,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
113,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Mpanda,TZ,70.16,light rain,-6.3655,31.0409,CH Hotel - Mpanda
121,Kirakira,SB,80.8,scattered clouds,-10.4544,161.9205,SanBiz Lodge
127,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
130,Acarau,BR,83.82,scattered clouds,-2.8856,-40.12,castelo pizzaria
131,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le four à pain
136,Kavieng,PG,80.98,broken clouds,-2.5744,150.7967,Nusa Island Retreat
140,Binga,ZW,83.93,clear sky,-17.6203,27.3414,Lakeview Inn Binga
141,Hilo,US,75.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
142,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
144,Maragogi,BR,80.87,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
145,Hithadhoo,MV,80.53,clear sky,-0.6,73.0833,Scoop Guest House
146,Sur,OM,76.46,clear sky,22.5667,59.5289,Sur Plaza Hotel
150,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Victoria,HK,75.38,few clouds,22.2855,114.1577,Mini Central
