City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vaini,TO,-21.2,-175.2,76.5,73,100,6.44,overcast clouds
1,Poopo,BO,-18.3667,-66.9667,66.45,5,0,14.58,clear sky
2,Beeville,US,28.4008,-97.7483,50.63,50,100,4.61,overcast clouds
3,Bengkulu,ID,-3.8004,102.2655,74.19,90,98,5.06,overcast clouds
4,Narsaq,GL,60.9167,-46.05,26.82,81,100,1.03,overcast clouds
5,Butaritari,KI,3.0707,172.7902,80.35,79,15,12.91,few clouds
6,Cherskiy,RU,68.75,161.3,-13.59,98,100,8.03,overcast clouds
7,Leningradskiy,RU,69.3833,178.4167,-24.61,97,13,5.64,few clouds
8,Ushtobe,KZ,45.2514,77.9838,43.97,85,100,14.74,overcast clouds
9,Urucara,BR,-2.5364,-57.76,102.65,23,18,5.35,few clouds
10,Yellowknife,CA,62.456,-114.3525,25.32,80,75,11.5,broken clouds
11,Castro,BR,-24.7911,-50.0119,80.69,38,75,1.1,broken clouds
12,Nautanwa,IN,27.4333,83.4167,63.27,69,0,2.04,clear sky
13,Mataura,NZ,-46.1927,168.8643,58.48,95,83,2.71,broken clouds
14,Khatanga,RU,71.9667,102.5,-32.1,100,89,4.38,overcast clouds
15,Steinbach,DE,50.1667,8.5667,44.64,91,100,8.05,light intensity drizzle rain
16,Carnarvon,AU,-24.8667,113.6333,69.51,59,0,17.34,clear sky
17,Geraldton,AU,-28.7667,114.6,55.81,82,0,10.36,clear sky
18,Bambous Virieux,MU,-20.3428,57.7575,75.22,72,0,6.8,clear sky
19,Maraa,BR,-1.8333,-65.3667,86.94,64,100,2.55,overcast clouds
20,Ponta Do Sol,PT,32.6667,-17.1,66.83,60,24,4.65,few clouds
21,Souillac,MU,-20.5167,57.5167,73.56,72,7,6.91,clear sky
22,Nalut,LY,30.3333,10.85,52.81,39,7,7.49,clear sky
23,Saint George,US,37.1041,-113.5841,48.79,33,0,1.99,clear sky
24,Sabang,ID,5.8933,95.3214,81.46,78,100,17.85,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,61.61,76,1,6.78,clear sky
26,Ushuaia,AR,-54.8,-68.3,53.22,62,75,18.41,broken clouds
27,Hasaki,JP,35.7333,140.8333,54.28,63,100,12.57,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,59.77,75,0,2.82,clear sky
29,Faanui,PF,-16.4833,-151.75,78.26,76,96,18.37,light rain
30,Barrow,US,71.2906,-156.7887,23.02,74,100,16.11,overcast clouds
31,Pevek,RU,69.7008,170.3133,-23.44,96,100,10.63,overcast clouds
32,Turbat,PK,26.0023,63.044,76.21,61,0,1.36,clear sky
33,Najran,SA,17.4924,44.1277,63.25,47,7,4.0,clear sky
34,Avarua,CK,-21.2078,-159.775,75.25,60,75,9.22,broken clouds
35,Nikolskoye,RU,59.7035,30.7861,24.69,97,91,4.03,overcast clouds
36,Tombouctou,ML,20.0,-3.0,77.54,14,4,10.36,clear sky
37,Beringovskiy,RU,63.05,179.3167,-1.86,86,39,21.34,scattered clouds
38,Mpika,ZM,-11.8343,31.4529,70.7,44,29,5.08,scattered clouds
39,Alekseyevka,RU,50.6309,38.6903,30.22,98,100,10.92,snow
40,Cidreira,BR,-30.1811,-50.2056,73.17,74,100,20.96,overcast clouds
41,East London,ZA,-33.0153,27.9116,65.12,76,14,8.81,few clouds
42,Bluff,NZ,-46.6,168.3333,58.8,87,76,7.58,broken clouds
43,Busselton,AU,-33.65,115.3333,49.73,81,0,11.52,clear sky
44,Katsuura,JP,35.1333,140.3,60.71,83,100,3.49,moderate rain
45,Vardo,NO,70.3705,31.1107,35.58,87,100,6.91,overcast clouds
46,Luderitz,NA,-26.6481,15.1594,64.53,72,91,15.5,overcast clouds
47,San Cristobal,VE,7.7669,-72.225,78.98,55,89,3.27,overcast clouds
48,Waingapu,ID,-9.6567,120.2641,80.29,81,100,2.82,overcast clouds
49,Georgetown,MY,5.4112,100.3354,81.23,88,20,0.0,few clouds
50,Tarko-Sale,RU,64.9225,77.785,-16.56,96,100,6.85,overcast clouds
